Hour,temp_f
1:00 am,45.62344262295084
2:00 am,44.762786885245895
3:00 am,43.98081967213117
4:00 am,43.32524590163935
5:00 am,42.74442622950817
6:00 am,42.29196721311476
7:00 am,42.85950819672133
8:00 am,43.831311475409805
9:00 am,45.28065573770489
10:00 am,46.98721311475408
11:00 am,48.699672131147494
12:00 pm,50.193770491803285
1:00 pm,51.541803278688555
2:00 pm,52.50868852459016
3:00 pm,53.1967213114754
4:00 pm,53.391475409836055
5:00 pm,53.17803278688522
6:00 pm,52.29770491803276
7:00 pm,51.18131147540983
8:00 pm,50.04131147540981
9:00 pm,48.8481967213115
10:00 pm,47.85180327868851
11:00 pm,47.06491803278684
12:00 am,46.39704918032784
